Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Internode_length	Internode_final_length	Internode_surface	Internode_PAR	Photosynthetic
5.0	56.0	11.3	4	Maxwell	(1, 1)	1	1	0.0	0.0	0.0	0.0	True
5.0	56.0	11.3	4	Maxwell	(1, 1)	1	2	0.0	0.0	0.0	0.0	True
5.0	56.0	11.3	4	Maxwell	(1,)	-1	1	0.0	0.0	0.0	0.0	True
5.0	56.0	11.3	4	Maxwell	(1, 2)	2	1	0.0	0.0	0.0	0.0	True
5.0	56.0	11.3	4	Maxwell	(1,)	-1	2	0.0	0.0	0.0	0.0	True
5.0	56.0	11.3	4	Maxwell	(1,)	-1	3	0.0	0.0	0.0	0.0	True
5.0	56.0	11.3	4	Maxwell	(1,)	-1	4	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1, 1)	1	1	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1, 1)	1	2	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1,)	-1	1	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1, 2)	2	1	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1,)	-1	2	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1,)	-1	3	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	1	Maxwell	(1,)	-1	4	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1, 1)	1	1	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1, 1)	1	2	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1,)	-1	1	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1, 2)	2	1	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1,)	-1	2	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1,)	-1	3	0.0	0.0	0.0	0.0	True
6.0	65.8	9.8	4	Maxwell	(1,)	-1	4	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1, 1)	1	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1, 1)	1	2	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1,)	-1	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1, 2)	2	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1,)	-1	2	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1,)	-1	3	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	1	Maxwell	(1,)	-1	4	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1, 1)	1	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1, 1)	1	2	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1,)	-1	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1, 2)	2	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1,)	-1	2	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1,)	-1	3	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	2	Maxwell	(1,)	-1	4	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	4	Maxwell	(1, 1)	1	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	4	Maxwell	(1, 1)	1	2	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	4	Maxwell	(1,)	-1	1	0.0	0.0	0.0	0.0	True
7.0	75.8	10.0	4	Maxwell	(1, 2)	2	1	0.0	0.0	0.0	0.0	True
