Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sum_temp	Peduncle_length	Peduncle_final_length	Peduncle_surface	Peduncle_PAR	Photosynthetic
82.0	375.6	9.0	4	Maxwell	(1,)	-1	11	9.0	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 1, 1)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 1, 3)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 1)	6	4	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 2, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 2)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 3, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 3)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1, 5)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 1)	4	6	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 2, 1, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 2, 1)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 2, 2, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 2, 2)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 2, 4)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 2)	5	5	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 3, 1, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 3, 1)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 3, 3)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 3)	6	4	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 4, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
