Init_flag	Elapsed_time	Temp_cum	DOY	Genotype	Num_plante	Surface_plante	Surface_visible	Surface_sol	GAI_tot	GAI_center	GAI_ind	GAI_prox	Position	Weakest_axis	PAR_weakest_axis
True	1.0	10.3	300	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	1.0	10.3	300	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	1.0	10.3	300	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	1.0	10.3	300	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	2.0	20.7	301	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	2.0	20.7	301	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	2.0	20.7	301	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	2.0	20.7	301	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	3.0	33.3	302	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	3.0	33.3	302	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	3.0	33.3	302	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	3.0	33.3	302	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	4.0	44.7	303	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	4.0	44.7	303	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	4.0	44.7	303	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	4.0	44.7	303	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	5.0	56.0	304	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	5.0	56.0	304	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	5.0	56.0	304	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	5.0	56.0	304	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	6.0	65.8	305	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	6.0	65.8	305	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	6.0	65.8	305	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	6.0	65.8	305	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	7.0	75.8	306	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	7.0	75.8	306	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	7.0	75.8	306	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	7.0	75.8	306	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	8.0	89.5	307	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	8.0	89.5	307	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	8.0	89.5	307	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	8.0	89.5	307	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	9.0	104.3	308	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	9.0	104.3	308	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	9.0	104.3	308	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	9.0	104.3	308	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	10.0	118.8	309	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	10.0	118.8	309	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	10.0	118.8	309	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	10.0	118.8	309	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	11.0	130.0	310	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	11.0	130.0	310	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	11.0	130.0	310	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	11.0	130.0	310	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	12.0	136.1	311	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	12.0	136.1	311	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	12.0	136.1	311	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	12.0	136.1	311	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	13.0	141.2	312	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	13.0	141.2	312	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	13.0	141.2	312	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	13.0	141.2	312	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	16.0	163.5	315	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
